ID,Cond,Site,Date,Temp,TOTAL FC,TOTAL EC,TOTAL ENT,TOTAL CP,TOTAL SALM,TOTAL FPGE,TOTAL SOMPGE,TOTAL PART,TOTAL TOC
1,storm,1,7/25/2006,29.0,201415.72,11529.58,44354.03,240.00,427.00,0.00,840.00,22946.67,9.2
2,storm,1,11/7/2006,13.6,44770.69,367.41,6188.94,43.00,35.71,6.00,0.00,40230.00,9.2
3,storm,1,4/15/2007,18.5,10357.33,1769.42,3128.07,240.00,3.00,0.00,0.00,22676.67,n/a
4,storm,2,7/25/2006,28.1,294968.69,201415.72,169732.40,750.00,4.00,34.00,710.00,30753.33,9.1
5,storm,2,9/5/2006,24.9,38687.26,1401.18,6226.42,290.00,933.00,224.00,36.00,12166.67,12.6
7,storm,2,10/28/2006,18.1,25357.88,6345.40,39758.02,150.00,231.16,36.00,110.00,181470.00,13.7
8,storm,2,11/7/2006,14.0,98833.58,13331.36,13672.63,430.00,23.12,0.00,12.00,77383.33,8.9
9,storm,2,4/15/2007,18.1,17082.75,4105.13,34150.16,1100.00,91.92,0.00,48.00,56946.67,n/a
10,storm,3,7/25/2006,27.9,294968.69,30401.86,169732.40,2400.00,0.00,32.00,718.00,35906.67,8.7
11,storm,3,9/5/2006,25.1,25505.21,1337.59,5413.81,2400.00,1152.00,82.00,462.00,15643.33,13.6
12,storm,3,9/25/2006,21.4,12582.17,2192.85,5550.21,23.00,91.78,2.00,214.00,7340.00,7.6
13,storm,3,10/28/2006,18.2,47055.26,5212.23,43157.40,1100.00,231.16,40.00,1188.00,658860.00,14.3
14,storm,3,11/7/2006,13.9,172771.20,8635.91,23099.11,2400.00,231.16,0.00,2820.00,182603.33,10.3
15,storm,3,4/15/2007,18.1,15672.49,4129.16,27295.96,1100.00,74.07,0.00,424.00,59200.00,n/a
16,storm,4,6/25/2006,n/a,201415.72,692.67,60743.13,240.00,122.00,0.00,768.00,19690.00,9.8
17,storm,4,7/25/2006,29.2,224981.63,630.39,20825.85,460.00,4.00,26.00,180.00,32350.00,9.1
18,storm,4,11/7/2006,14.1,216740.78,489.73,22208.60,930.00,72.33,16.00,26.00,41856.67,10.5
19,storm,5,6/25/2006,n/a,224981.63,48140.80,132459.62,1100.00,122.00,242.00,1104.00,28330.00,11.3
20,storm,5,7/25/2006,28.1,661588.41,26002.58,196581.63,2400.00,0.00,2.00,580.00,62370.00,9.0
21,storm,5,9/5/2006,25.7,9012.46,413.79,3265.07,2400.00,114.00,40.00,40.00,7396.67,5
22,storm,5,9/25/2006,22.6,138135.33,94770.25,70794.22,2400.00,932.80,2.00,288.00,35340.00,14
23,storm,5,10/28/2006,19.0,27454.22,7981.49,13963.59,1500.00,91.78,8.00,274.00,17016.67,10
24,storm,5,11/7/2006,14.7,107622.36,24163.99,31670.89,2400.00,231.16,6.00,162.00,28330.00,8.2
25,storm,5,6/3/2007,n/a,145351.15,1007.51,26655.29,460.00,932.80,0.00,n/a,20713.33,8.6
26,storm,6,6/25/2006,n/a,294968.69,24577.96,92189.95,1100.00,51.00,56.00,792.00,28943.33,7.1
27,storm,6,7/25/2006,27.4,183677.84,10014.09,154750.03,930.00,0.00,6.00,200.00,30560.00,5.1
28,storm,6,9/5/2006,24.2,11048.21,1580.60,6243.77,930.00,231.00,0.00,100.00,11193.33,6
29,storm,6,9/25/2006,20.8,8968.06,577.53,3884.82,23.00,427.29,0.00,54.00,24426.67,7
30,storm,6,10/28/2006,17.3,26496.55,7378.49,13498.20,210.00,385.00,4.00,556.00,12306.67,9
31,storm,6,11/7/2006,13.7,97488.77,20003.74,20005.10,930.00,72.33,10.00,124.00,20113.33,5.4
32,storm,6,6/3/2007,n/a,123942.18,1518.36,9665.46,4600.00,932.80,0.00,2.00,19620.00,7.2
33,storm,7,6/25/2006,n/a,32038.68,2478.97,22619.45,240.00,122.00,12.00,976.00,182833.33,7.6
34,storm,7,7/25/2006,26.6,20005.10,1671.80,39758.02,92.00,147.00,70.00,960.00,256686.67,7.2
35,storm,7,9/5/2006,23.0,14562.49,1564.97,29625.07,930.00,92.00,86.00,1380.00,129713.33,10
37,storm,7,10/28/2006,14.9,5418.29,1357.51,7819.75,93.00,231.16,10.00,950.00,191720.00,8
38,storm,7,11/7/2006,13.3,22880.90,4964.06,8801.37,150.00,91.78,26.00,680.00,97513.33,12.0
39,storm,7,4/12/2007,14.3,12646.11,4147.11,5787.47,380.00,28.49,36.00,618.00,227240.00,10
40,storm,7,4/15/2007,16.4,7884.40,861.99,2364.06,240.00,14.66,24.00,276.00,219133.33,3.6
41,storm,7,5/12/2007,22.0,10490.82,2875.58,16502.20,430.00,35.95,14.00,1194.00,288016.67,8.321333333
42,storm,7,6/3/2007,n/a,15655.98,2729.08,3176.25,460.00,231.16,2.00,1612.00,149153.33,6.6
43,storm,8,6/25/2006,n/a,20531.63,577.53,2416.25,75.00,51.00,52.00,304.00,502893.33,10.0
44,storm,8,7/25/2006,25.8,86501.13,1129.61,36637.72,92.00,427.00,14.00,1320.00,573826.67,10.0
45,storm,8,9/5/2006,22.9,11558.89,2206.57,15010.68,230.00,231.00,22.00,1020.00,234546.67,9.1
47,storm,8,10/28/2006,14.9,9238.59,1478.87,4521.42,23.00,93.28,2.00,690.00,335160.00,9.2
48,storm,8,11/7/2006,12.7,22403.38,3967.92,7743.60,240.00,72.33,18.00,732.00,130746.67,13.4
50,dry,2,6/19/2006,n/a,673.92,5.20,8.35,0.00,0.00,2.00,0.00,1866.67,3.8
51,dry,2,8/15/2006,26.8,4851.76,3.60,117.15,0.00,0.00,0.00,0.00,4016.67,4.0
52,dry,2,10/25/006,14.3,422.27,4.16,66.67,3.60,0.00,0.00,0.00,2676.67,3.632666667
53,dry,2,4/3/2007,15.6,155.71,2.55,10.51,0.00,0.00,0.00,40.00,1730.00,3.6
55,dry,3,6/19/2006,n/a,1627.80,41.02,90.81,240.00,0.00,10.00,212.00,7913.33,8.0
56,dry,3,8/15/2006,25.5,2817.33,36.19,1253.10,43.00,933.00,0.00,0.00,5803.33,5.2
57,dry,3,10/25/2006,7.9,886.98,15.21,452.13,93.00,3.01,0.00,10.00,2266.67,4.3
58,dry,3,4/3/2007,13.7,745.82,14.73,216.74,15.00,0.00,0.00,2.00,28343.33,8.9
60,dry,5,6/19/2006,n/a,8708.69,311.93,108.54,460.00,27.00,2.00,2.00,19390.00,5.8
61,dry,5,7/12/2006,n/a,24370.29,15.21,269.67,2400.00,5.00,0.00,12.00,14986.67,4.8
62,dry,5,8/15/2006,26.7,12163.15,10.05,360.40,460.00,36.00,0.00,24.00,48776.67,7
63,dry,5,10/25/2006,11.0,2449.29,10.05,344.31,1100.00,0.00,8.00,2.00,3406.67,3.981333333
65,dry,6,6/19/2006,n/a,6824.15,80.03,192.91,150.00,2.00,0.00,0.00,17436.67,10.9
66,dry,6,10/25/2006,7.8,1939.84,168.08,1540.97,2400.00,23.12,0.00,0.00,71040.00,5
67,dry,6,4/3/2007,14.7,193.93,36.19,85.42,240.00,3.00,0.00,0.00,28250.00,10
69,dry,7,6/19/2006,n/a,3575.79,328.51,196.84,75.00,24.00,12.00,222.00,43726.67,9.8
70,dry,7,7/12/2006,n/a,2198.36,97.56,140.14,23.00,5.00,0.00,174.00,24253.33,7.1
71,dry,7,8/15/2006,26.1,784.62,10.09,74.31,150.00,92.00,2.00,6.00,30553.33,7.6
72,dry,7,10/25/2006,10.0,581.54,85.81,255.11,93.00,3.05,4.00,82.00,12906.67,7.824
73,dry,7,4/3/2007,18.0,343.84,36.03,66.83,43.00,0.00,4.00,30.00,12190.00,5.6
74,dry,7,5/22/2007,19.3,2621.56,145.14,626.39,43.00,0.00,0.00,100.00,37470.00,7.805333333
75,dry,7,7/23/2007,n/a,11547.44,2031.44,1043.75,43.00,231.16,7.00,86.00,74610.00,8.032666667
76,dry,7,8/28/2007,29.2,1408.71,65.26,30.74,43.00,3.00,2.00,12.00,59293.33,n/a
78,dry,8,6/19/2006,n/a,6258.39,286.18,203.86,23.00,122.00,0.00,266.00,126090.00,8.7
79,dry,8,7/12/2006,n/a,3883.66,128.75,247.21,240.00,2.00,46.00,42.00,80666.67,7.5
80,dry,8,8/15/2006,26.8,3675.22,230.47,596.68,43.00,74.00,8.00,16.00,35306.67,8.1
81,dry,8,10/25/2006,10.8,512.37,36.19,146.58,23.00,11.38,2.00,22.00,10656.67,8
82,dry,8,4/3/2007,18.9,2205.89,69.27,12696.73,43.00,0.00,4.00,16.00,30653.33,8
